Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
ETWU Snatches  Cleans, and American Dreams, 2012-07-28, Open Men's 105 kg, Timothy McInnis, 94, 95, 100, 105, 120, 125, 130, 105, 130, 235
ETWU Snatches  Cleans, and American Dreams, 2012-07-28, Open Men's 105 kg, William Hornsby, 96.6, 90, 95, 100, 120, 125, 130, 100, 130, 230
ETWU Snatches  Cleans, and American Dreams, 2012-07-28, Open Men's 85 kg, Jacob Reed, 85, -90, -90, 90, 125, -128, -128, 90, 125, 215
ETWU Snatches  Cleans, and American Dreams, 2012-07-28, Open Women's 69 kg, Lindsey Beard, 64.8, 58, 61, -65, -80, -80, 80, 61, 80, 141
ETWU Snatches  Cleans, and American Dreams, 2012-07-28, Open Women's 69 kg, Danielle Potter, 66.5, 48, 50, 52, 57, 60, 63, 52, 63, 115
ETWU Snatches  Cleans, and American Dreams, 2012-07-28, Open Women's 58 kg, Madison Shallcross, 54.7, -46, 46, -48, 56, 59, -62, 46, 59, 105
























