Meet, Date, Age Category, Lifter, Body Weight (Kg), Snatch Lift 1, Snatch Lift 2, Snatch Lift 3, C&J Lift 1, C&J Lift 2, C&J Lift 3, Best Snatch, Best C&J, Total
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Women's 53 kg, Hannah Johnson, 51.92, 0, 0, 0, 47, 0, 0, 0, 47, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Women's 58 kg, Paige Stone, 56.9, 0, 0, 0, 66, 0, 0, 0, 66, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Women's 63 kg, Christie Hennon, 59.2, 0, 0, 0, 71, 0, 0, 0, 71, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Women's 69 kg, Rebecca Gustafson, 65.54, 0, 0, 0, 62, 0, 0, 0, 62, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Women's 69 kg, Kristen Garcia, 68.98, 0, 0, 0, 73, 0, 0, 0, 73, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Women's 75 kg, Alexandrea Vasquez, 69.16, 0, 0, 0, 68, 0, 0, 0, 68, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Women's 75 kg, Monica Felix, 69.76, 0, 0, 0, 50, 0, 0, 0, 50, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Women's 75 kg, Tabitha Ledford, 69.98, 0, 0, 0, 40, 0, 0, 0, 40, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Women's +75 Kg, Melissa Depina, 85.62, 0, 0, 0, 60, 0, 0, 0, 60, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 62 kg, Manuel Wong, 57.46, 0, 0, 0, 77, 0, 0, 0, 77, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 69 kg, John Velasquez, 62.74, 0, 0, 0, 55, 0, 0, 0, 55, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 69 kg, Vincent Porras, 67.46, 0, 0, 0, 60, 0, 0, 0, 60, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 77 kg, Kenny Kanenbley, 69.2, 0, 0, 0, 105, 0, 0, 0, 105, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 77 kg, Jared Cohen, 70.22, 0, 0, 0, 85, 0, 0, 0, 85, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 77 kg, Stephen Au, 70.6, 0, 0, 0, 92, 0, 0, 0, 92, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 77 kg, Bert Sanchez, 73.42, 0, 0, 0, 108, 0, 0, 0, 108, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 77 kg, Simon Kuang, 76.44, 0, 0, 0, 110, 0, 0, 0, 110, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 85 kg, Will Werner, 84.02, 0, 0, 0, 0, 0, 0, 0, 0, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 85 kg, Jason Longfellow, 82.84, 0, 0, 0, 130, 0, 0, 0, 130, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 85 kg, Jason Chan, 85, 0, 0, 0, 120, 0, 0, 0, 120, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 85 kg, Mario Quintana, 78.28, 0, 0, 0, 85, 0, 0, 0, 85, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 85 kg, Juan villegas Villegas, 78.56, 0, 0, 0, 75, 0, 0, 0, 75, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 94 kg, Nathan Holiday, 85.5, 0, 0, 0, 136, 0, 0, 0, 136, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 94 kg, Michael Kokiatkulkij, 86.46, 0, 0, 0, 95, 0, 0, 0, 95, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 94 kg, Alexander Maupin, 86.58, 0, 0, 0, 60, 0, 0, 0, 60, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 94 kg, Michael Devaney, 90.32, 0, 0, 0, 110, 0, 0, 0, 110, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 94 kg, Mike Varanelli, 85.34, 0, 0, 0, 45, 0, 0, 0, 45, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 105 kg, Darius Constancio, 94.5, 0, 0, 0, 0, 0, 0, 0, 0, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 105 kg, Albert Gonzales, 94.54, 0, 0, 0, 105, 0, 0, 0, 105, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's 105 kg, Alex Orozco, 97.88, 0, 0, 0, 60, 0, 0, 0, 60, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's+105 kg, Christopher Pena, 123.1, 0, 0, 0, 80, 0, 0, 0, 80, 0
3rd Annual Chikara Sport St. Patty;s Day Meet, 2012-03-10, Open Men's+105 kg, DAVID TULLAR, 136.76, 0, 0, 0, 120, 0, 0, 0, 120, 0




























