First Name|Second Name|Nationality|ANTI-DOPING Rule Violation|Date of the ADRV|Status|Sanctions|Disqualification|Means of Resolution
Juan David|Guadamud Pico|Ecuador|Art. 2.1 - Presence of SARMS enobosarm and DHCMT|13 July 2021 and 16 September 2021|Provisional Suspension|Period of Ineligibility of 4 years - 23 August 2021 to 22 August 2025|13 July 2021 to 23 August 2021|Agreement on Consequences
Rejepbay|Rejepov|Turkmenistan|Art. 2.1 – Presence of Methasterone metabolite|15 February 2023|Resolved|Period of Ineligibility of 3 years - 6 April 2023 to 5 April 2026|15 February 2023 to 6 April 2023|Agreement on Consequences
Bader|Alshammari|Kuwait|Art 2.1 - Presence of Stanozolol metabolite and Boldenone metabolite|12 May 2023|Provisional Suspension|N/A|N/A|N/A
Goran|Ćetković|Croatia|Art. 2.1 - Presence of SARMS enobosarm (ostarine)|19 April 2023|Provisional Suspension|N/A|N/A|N/A
Tia Sarah|Tovarlaža|Croatia|Art. 2.1 - Presence of SARMS enobosarm (ostarine)|19 April 2023|Provisional Suspension|N/A|N/A|N/A
Lyubov|Kovalchuk|Kazakhstan|Art. 2.1 - Presence of SARMS S-23|13 May 2023|Provisional Suspension|N/A|N/A|N/A
Nurgissa|Adiletuly|Kazakhstan|Art. 2.1 - Presence of SARMS S-23 and 5-methylhexan-2-amine|12 May 2023|Provisional Suspension|N/A|N/A|N/A
Andas|Samarkanov|Kazakhstan|Art. 2.1 - Presence of SARMS S-23|12 May 2023|Provisional Suspension|N/A|N/A|N/A
Arli|Chontey|Kazakhstan|Art. 2.1 - Presence of SARMS S-23|5 May 2023|Provisional Suspension|N/A|N/A|N/A
Artyom|Antropov|Kazakhstan|Art. 2.1 - Presence of SARMS S-23|12 May 2023|Provisional Suspension|N/A|N/A|N/A
Daniel|Godelli|Albania|Art. 2.1 - Presence of SARMS enobosarm (ostarine)|19 April 2023|Provisional Suspension|N/A|N/A|N/A
Ruby|Malvina|Seychelles|Art. 2.1 – Presence of Metenolone and metabolite|15 May 2023|Provisional Suspension|N/A|N/A|N/A
Hakan Sukru|Kurnaz|Turkey|Art. 2.1 – Presence of Methasterone metabolite|21 April 2023|Provisional Suspension|N/A|N/A|N/A
Pelinsu|Bayav|Turkey|Art. 2.1 – Presence of Methasterone, Methyltestosterone metabolites, Stanozolol metabolite|15 April 2023|Provisional Suspension|N/A|N/A|N/A
Ogulgerek|Amanova|Turkmenistan|Art. 2.1 – Presence of Methasterone metabolites|18 May 2023|Provisional Suspension|N/A|N/A|N/A
Medine|Amanova|Turkmenistan|Art. 2.1 – Presence of Methasterone metabolites|11 April 2023|Provisional Suspension|N/A|N/A|N/A
Marie Hanitra|Ranaivosoa Coret|Mauritius|Art. 2.2 - Use (Sample Swapping) and Art. 2.5 (Tampering)|25 March 2016|Provisional Suspension|N/A|N/A|N/A
Dmitriy|Klokov|Russian Federation|Art. 2.2 - Use (LIMS)|9 February 2012|Resolved|Period of Ineligibility of 4 years - 12 May 2023 to 11 May 2027|9 February 2012 to 12 May 2023|Sanctioning Decision
Svetlana|Tzarukaeva|Russian Federation|Art. 2.2 - Use (LIMS)|11 February 2012|Resolved|Period of Ineligibility of 2 years - 7 February 2022 to 6 February 2024|11 February 2012 to 7 February 2022|Sanctioning Decision
Natalia|Zabolotnaya|Russian Federation|Art. 2.2 - Use (LIMS)|11 February 2012|Resolved|Period of Ineligibility of 2 years - 7 February 2022 to 6 February 2024|11 February 2012 to 7 February 2022|Sanctioning Decision
Olga|Zubova|Russian Federation|Art. 2.2 - Use (LIMS)|11 February 2012|Resolved|Period of Ineligibility of 2 years - 27 November 2023 to 26 November 2025|11 February 2012 to 7 February 2022|Sanctioning Decision
Apti|Aukhadov|Russian Federation|Art. 2.2 - Use (LIMS)|17 March 2012|Resolved|Period of Ineligibility of 18 months - 7 February 2022 to 6 August 2023|17 March 2012 to 7 February 2022|Sanctioning Decision
Alexey|Kosov|Russian Federation|Art. 2.2 - Use (LIMS)|17 March 2012|Resolved|N/A|17 March 2012 to 7 March 2022|Sanctioning Decision
Mohammed|Hamada|Palestine|Art. 2.1 - Presence of Methasterone|9 May 2022|Resolved|Period of Ineligibility of 20 months - 16 June 2022 to 15 February 2024|9 May 2022 to 16 June 2022|Agreement on Consequnces
Alireza|Abbaspoor|Iran - Islamic Republic of|Art. 2.1 - Presence of heptaminol|8 October 2021|Resolved|Period of Ineligibility of 2 years - 29 November 2021 to 28 November 2023|8 October 2021 to 29 November 2021|Sanctioning Decision
Alina|Marushchak|Ukraine|Art. 2.1 – Presence of Hydrochlorothiazide|10 March 2023|Provisional Suspension|N/A|N/A|N/A
Aziz|Mannai|Tunisia|Art. 2.1 – Presence of exogenous Testosterone|27 September 2022|Provisional Suspension|N/A|N/A|N/A
Jiri|Orsag|Czech Republic|Art. 2.1 – Presence of Boldenone metabolite|16 December 2022|Provisional Suspension|N/A|N/A|N/A
Natasha Rosa|Figueiredo|Brazil|Art. 2.1 – Presence of Hydrochlorothiazide|31 March 2021|Resolved|Period of Ineligibility of 16 months - until 3 May 2024|1 July 2021 to 27 February 2023|CAS
Mikhail|Gobeev|Russian Federation|Art. 2.2 - Use (LIMS)|10 May 2012|Resolved|Period of Ineligibility of 4 years - 28 April 2022 to 27 April 2026|10 May 2012 to 9 May 2016|CAS ADD
Irakli|Turmanidze|Georgia|Art. 2.1 - Presence of stanozolol metabolite (Re-analysis)|15 April 2012|Resolved|Period of Ineligibility of 2 years - 17 November 2021 to 16 November 2023|16 April 2012 to 15 April 2014|CAS ADD
Xiaojun|Lyu|China|Art. 2.1 – Presence of EPO|30 October 2022|Provisional Suspension|N/A|N/A|N/A
Zacarias|Bonnat Michel|Dominican Republic|Art. 2.1 – Presence of SARMS RAD140|13 November 2022|Provisional Suspension|N/A|N/A|N/A
Ruslan|Kozhakin|Ukraine|Art. 2.1 – Presence of Trimetazidine|27 October 2022|Provisional Suspension|N/A|N/A|N/A
Bohdan|Taranenko|Ukraine|Art. 2.1 – Presence of Trimetazidine|27 October 2022|Provisional Suspension|N/A|N/A|N/A
Ahmed Emad|Mohamed|Egypt|Art. 2.1 – Presence of Human Growth Hormone|29 October 2022|Provisional Suspension|N/A|N/A|N/A
Nicu|Vlad|Romania|Art. 2.9 - Complicity|May 2012|Resolved|Ineligibility Lifetime period of Ineligibility|N/A|CAS ADD
Tamas|Ajan||Art. 2.5 - Tampering; Art. 2.9 - Complicity|May 2012|Resolved|Ineligibility Lifetime period of Ineligibility|N/A|CAS ADD
Aslan|Bideev|Russian Federation|Art. 2.1 - Presence of Dehydrochloromethyl-testosterone metabolite (Re-analysis) and Art. 2.2 - Use (LIMS)|9 February 2012 and 9 April 2012|Resolved|Period of Ineligibility of 4 years - 18 January 2022 to 17 January 2026|9 February 2012 to 18 January 2022|Sanctioning Decision
Andrey|Kozlov|Russian Federation|Art. 2.1 - Presence of Dehydrochloromethyl-testosterone metabolite (Re-analysis) and Art. 2.2 - Use (LIMS)|15 April 2012, and 5 March 2012|Resolved|Period of Ineligibility of 4 years - 18 January 2022 to 17 January 2026|5 March 2012 to 18 January 2022|Sanctioning Decision
Baydar|Fatih|Turkey|Art. 2.1 - Presence of stanozolol metabolite (Re-analysis)|13 April 2012|Resolved|Period of Ineligibility of 2 years - 17 November 2021 to 16 November 2023|13 April 2012 to 12 April 2016|CAS ADD
Gokhan|Kilic|Turkey|Art. 2.1 - Presence of Stanozolol metabolite (Re-analysis)|9 April 2012|Resolved|Period of Ineligibility of 2 years - 17 November 2021 to 16 November 2023|9 April 2012 to 8 April 2016|CAS ADD
Hatice|Yilmaz|Turkey|Art. 2.1 - Presence of stanozolol metabolite 3'-hydroxystanozolol glucuronide and stanozolol-N-glucuronide|14 April 2012|Resolved|Period of Ineligibility of 2 years - 17 November 2021 to 16 November 2023|April 2012 to 13 April 2016|CAS ADD
Bunyami|Sezer|Turkey|Art. 2.1 - Presence of stanozolol metabolite|10 April 2012|Resolved|Period of Ineligibility of 2 years - 17 November 2021 to 16 November 2023|10 April 2012 to 9 April 2014|CAS ADD
Hanna|Batsiushka|Belarus|Art. 2.1 - Presence of dehydrochloromethyl-testosterone metabolite (Re-analysis)|13 April 2012|Resolved|Period of Ineligibility of 2 years - 17 November 2021 to 16 November 2023|13 April 2012 to 17 November 2021|Sanctioning Decision
Giuseppe|Aschettino|United Kingdom|Art. 2.1 - Presence of SARMS LGD-4033 (ligandrol) metabolite|30 January 2022|Resolved|Period of Ineligibility of 3 years 23 March 2022 until 22 March 2025|30 January 2022 to 23 March 2022|Agreement on Consequences
Abubakar|Ghani|Pakistan|Art. 2.1 - Presence of tamoxifen metabolite|9 December 2021|Resolved|Period of Ineligibility of 2 years - 1 February 2022 to 31 January 2024|9 December 2022 to 1 February 2022|Agreement on Consequences
Talha|Talib|Pakistan|Art. 2.1 - Presence of 19-norandrosterone|29 November 2021|Resolved|Period of Ineligibility of 3 years - 25 January 2022 to 24 January 2025|29 November 2021 to 25 January 2022.|Agreement on Consequences.
Matsokha|Mykhailo|Ukraine|Art. 2.5 - Tampering; Article 2.9 - Complicity|6 May 2021|Resolved|Lifetime period of Ineligibility as from 4 June 2021|N/A|Sanctioning Decision
Nijat|Rahimov|Kazakhstan|Art. 2.2 - Use (Sample Swapping)|15 March 2016|CAS Appeal Ongoing|Period of Ineligibility of 8 years - 18 January 2021 until 17 January 2029|15 March 2016 to 18 January 2021|CAS ADD
Maghnia|Hammadi|Algeria|Art. 2.1 - Presence of Oxandrolone|3 July 2022|Provisional Suspension|N/A|N/A|N/A
Evagjelia|Veli|Albania|Art. 2.1 - Presence of Stanozolol metabolite and exogenous 5αAdiol and/or 5βAdiol|29 May 2022|Provisional Suspension|N/A|N/A|N/A
Muhammad|Sharjeel Butt|Pakistan|Art. 2.3 - Evading/ Refusing|10 November 2021|Provisional Suspension|N/A|N/A|N/A
Ghulam|Mustafa|Pakistan|Art. 2.3 - Evading/ Refusing|10 November 2021|Provisional Suspension|N/A|N/A|N/A
Abdur|Rehman|Pakistan|Art. 2.3 - Evading/ Refusing|10 November 2021|Provisional Suspension|N/A|N/A|N/A
Farhan|Amjad|Pakistan|Art. 2.3 - Evading/ Refusing|10 November 2021|Provisional Suspension|N/A|N/A|N/A
Aleksandr K|Ivanov|Russian Federation|Art. 2.2 - Use (LIMS)|9 February 2012|Provisional Suspension|N/A|N/A|N/A
