title,date,location,meet url id,old weight classes
5th International Qatar Cup,"Dec 19, 2018","DOHA, QAT",?event_id=444,false
5th International Solidarity Championships,"Dec 08, 2018","CAIRO, EGY",?event_id=445,false
II International Senior CSLP Cup,"Dec 07, 2018","Guayaquil, ECU",?event_id=442,false
II International Junior CSLP Cup,"Dec 07, 2018","Guayaquil, ECU",?event_id=443,false
2018 IWF World Championships,"Nov 01, 2018","Ashgabat, TKM",?event_id=441,false
6th Qatar International Cup,"Dec 19, 2019","Doha, QAT",?event_id=495,false
IWF World Cup,"Dec 10, 2019","Tianjin, CHN",?event_id=491,false
European Youth Championships,"Dec 07, 2019","Eilat, ISR",?event_id=498,false
International BA Open,"Dec 01, 2019","Buenos Aires, ARG",?event_id=493,false
South American Junior Championships,"Dec 01, 2019","Buenos Aires, ARG",?event_id=494,false
SEA Games,"Nov 30, 2019","Manila, PHI",?event_id=490,false
17th International Tournament of France Denis Randon,"Nov 15, 2019","Clermont l Hérault, FRA",?event_id=492,false
International Naim Suleymanoglu Tournament,"Nov 11, 2019","Gaziantep, TUR",?event_id=489,false
2019 IWF Grand Prix ODESUR CSLP,"Nov 08, 2019","Lima, PER",?event_id=485,false
Zone 3 African Senior Championships,"Nov 06, 2019","Antananarivo, MAD",?event_id=488,false
Alexander Cup,"Nov 01, 2019","Grodno, BLR",?event_id=487,false
"49th ""Challenge 210""","Oct 24, 2019","Tramelan, SUI",?event_id=481,false
Asian Junior Championships,"Oct 19, 2019","Pyongyang, PRK",?event_id=484,false
Asian Youth Championships,"Oct 19, 2019","Pyongyang, PRK",?event_id=486,false
European U23 Championships,"Oct 17, 2019","Bucharest, ROU",?event_id=483,false
European Junior Championships,"Oct 17, 2019","Bucharest, ROU",?event_id=482,false
Nordic Senior Championships,"Oct 12, 2019","Vigrestad, NOR",?event_id=480,false
12th Mediterranean Cup,"Oct 04, 2019","Serravalle, SMR",?event_id=479,false
San Diego International Open,"Oct 02, 2019","San Diego, USA",?event_id=478,false
2019 IWF World Championships,"Sep 18, 2019","PATTAYA, THA",?event_id=472,false
2019 African Youth Championships,"Sep 06, 2019","Kampala, UGA",?event_id=475,false
2019 African Junior Championships,"Sep 06, 2019","Kampala, UGA",?event_id=474,false
Cup of the Blue Swords,"Aug 28, 2019","Meissen, GER",?event_id=473,false
Pan-American Youth Championships,"Aug 24, 2019","Guayaquil, GUA",?event_id=504,false
12th All African Games,"Aug 24, 2019","Rabat, MAR",?event_id=477,false
Pan American Games,"Jul 26, 2019","Lima, PER",?event_id=476,false
2019 Oceania Junior Championships,"Jul 09, 2019","APIA, SAM",?event_id=465,false
2019 Pacific Games,"Jul 09, 2019","APIA, SAM",?event_id=466,false
2019 Oceania Senior Championships,"Jul 09, 2019","APIA, SAM",?event_id=464,false
2019 Oceania Youth Championships,"Jul 09, 2019","APIA, SAM",?event_id=470,false
2019 Commonwealth Youth Championships,"Jul 09, 2019","APIA, SAM",?event_id=469,false
2019 Commonwealth Junior Championships,"Jul 09, 2019","APIA, SAM",?event_id=468,false
2019 Commonwealth Senior Championships,"Jul 09, 2019","APIA, SAM",?event_id=467,false
Zone 2 African Championship,"Jul 07, 2019","NAIROBI, KEN",?event_id=471,false
Ready Steady Tokyo (Tokyo 2020 Test Event),"Jul 06, 2019","TOKYO, JPN",?event_id=462,false
Pan-American Junior Championships,"Jun 23, 2019","La Habana, CUB",?event_id=463,false
British International Open,"Jun 07, 2019","Coventry, GBR",?event_id=461,false
2019 IWF Junior World Championships,"Jun 01, 2019","SUVA, FIJ",?event_id=457,false
South American Championships,"May 08, 2019","PALMIRA, COL",?event_id=458,false
OPEN Senior Championships,"May 08, 2019","PALMIRA, COL",?event_id=460,false
Ibero-American Championships,"May 08, 2019","PALMIRA, COL",?event_id=459,false
Arafura Games,"Apr 27, 2019","Darwin, AUS",?event_id=456,false
African Championships,"Apr 23, 2019","Cairo, EGY",?event_id=454,false
Pan-American Championships,"Apr 21, 2019","Guatemala City, GUA",?event_id=455,false
Asian Championships,"Apr 18, 2019","Ningbo, CHN",?event_id=453,false
European Championships,"Apr 06, 2019","Batumi, GEO",?event_id=452,false
Zone 1 African Senior Championships,"Mar 20, 2019","Tripoli, LBA",?event_id=450,false
2019 IWF Youth World Championships,"Mar 08, 2019","Las Vegas, USA",?event_id=448,false
Las Vegas International Open,"Mar 07, 2019","Las Vegas, USA",?event_id=449,false
