Meet|Level|Date|Results|Meet Url
Conqueror Winter Developmental Meet|Local|2024-02-03|15|6219
BlueWave Championships 2024 (NUQ)|Local|2024-02-03|43|6221
Folsom Open 1-2024|Local|2024-02-03|33|6224
Lunar New Year Open 2024|Local|2024-02-03|65|6225
January Online Qualifier (NUQ)|Local|2024-01-31|30|6218
Wolverine Showdown 2024 (NUQ)|Local|2024-01-28|30|6215
Westerly Barbell Open (NUQ)|Local|2024-01-28|27|6205
2024 NYC Regional & Open|Local|2024-01-28|92|6208
North Jersey Barbell Meet|Local|2024-01-28|22|6210
Winter Lifting-Land|Local|2024-01-28|77|6214
Carolina Triple Crown|Local|2024-01-27|61|6206
2024 Frank Spellman Classic|Local|2024-01-27|57|6217
The Strength Tank Winter Meet|Local|2024-01-27|22|6209
The $6 Dare|Local|2024-01-27|33|6222
2024 CHICAGO OPEN|Local|2024-01-27|99|6211
LVB In House Masters Qualifier|Local|2024-01-27|10|6212
2024 Big Blue Winter Slam|Local|2024-01-27|18|6213
January 27th Competition|Local|2024-01-27|12|6203
Omni Fitness open|Local|2024-01-27|6|6204
Blizzard Weightlifting Meet|Local|2024-01-25|16|6216
2024 Coach Buzz Memorial Meet & Vehement Team Series|Local|2024-01-21|19|6207
20th Anniversary of The Pittsburgh Barbell Club Open|Local|2024-01-21|66|6197
Optimus Cold Front Classic|Local|2024-01-21|41|6188
2024 Baltimore Open|Local|2024-01-21|98|6201
SAS Memorial Weightlifting Meet IX|Local|2024-01-20|34|6193
Heartland Strength Open 2024|Local|2024-01-20|35|6194
2024 ECU Winter Open (NUQ)|Local|2024-01-20|37|6195
RVA Open 2024|Local|2024-01-20|59|6186
The Gator Weightlifting Winter Open 2024 (NUQ)|Local|2024-01-20|24|6199
EASTSIDE 2024 NEW YEAR LIFTOFF|Local|2024-01-20|12|6200
Orlando Strength Open 2 (NUQ)|Local|2024-01-20|73|6189
2024 Missouri Valley WSO & Open Championships|Local|2024-01-20|66|6202
Hudson Valley Winter Classic|Local|2024-01-20|45|6191
Bar Wars 2024|Local|2024-01-14|73|6181
MIA Classic 2024|Local|2024-01-14|119|6192
Kilo Strength Lift Off|Local|2024-01-14|39|6183
2024 Texas State Weightlifting Championships|Local|2024-01-14|474|6187
2024-NWC New Year Open|Local|2024-01-13|30|6182
Rosedale Open 2024|Local|2024-01-13|55|6185
Lakeville South Cougar Invite|Local|2024-01-06|202|6184
